_input,_num,_widgetName,_source,_resultNumber,_pageUrl,description,date,city,parish,county
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,24,Scroll of Extraction,Scroll of Extraction,23,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Alice Manfielde is accused of sending her imp Robin to plague Cheston's bull make it pine and die. This was seen as an act of retribution; Cheston's wife allegedly chides Manfielde and speaks many evil words to her.(63) Appears in: W. W. . A True and Just Record of the Information Examination and Confession of all the Witches taken at S. Osyth in the county of Essex. London: 1582 63,1575,,St. Osyth; St. Ofes; St. Oses,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire|,395,Scroll of Extraction,Scroll of Extraction,23,http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire,The day after Mother Alice Samuel Agnes Samuel and John Samuel are condemned to death numerous "godly men" come to Huntingdon Gaol to "perswade the condemned parties to repentance and to confesse their sinnes to the world and crave pardon at Gods mercifull hands." Mother Samuel when asked directly whether she bewitched Lady Cromwell denies it. John hearing her denial tells her to "denie it not but confesse the trueth: for thou didst it one way or other."(112) Appears in: Anonymous. The Most Strange and Admirable Discouerie of the Three Witches of Warboys . Unknown: 1593 112,1593 April 6,Huntingdon Gaol,,Huntingdonshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,418,Scroll of Extraction,Scroll of Extraction,23,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,Edward Drake Elizabeth Hancocke's father visits a local wizard or cunningman who diagnoses Elizabeth's illness as bewitchment and names Mary Smith as the culprit by showing Drake a black glass where he sees her image. He then instructs Drake on how to make a witch-cake (by mixing Hancocke's urine with flour baking the loaf and covering it with an ointment and a powder). The cake was to be split applied to her heart and back and a paper (with a spell on it?) was also meant to be laid on her. (52-54) Appears in: Roberts Alexander. A Treatise of Witchcraft. London: 1616 52-54,1616,,,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,450,Scroll of Extraction,Scroll of Extraction,23,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Francis Moore at her examination before Justice Nicholas Pedley alleges that she had received her first familiar eight years before from Margaret Simpson. The familiar was in the form of a little black puppy Simpson had named Pretty and Simpson instructed her to keep Pretty with her all her life. If she did and she ever cursed any cattle she could set Pretty on them and the cattle would soon die.(5) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 5,1638,Catworth,Catworth,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,25,Scroll of Extraction,Scroll of Extraction,24,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Alice Manfielde is accused of bewitching Joan Cheston's cattle.(70) Appears in: W. W. . A True and Just Record of the Information Examination and Confession of all the Witches taken at S. Osyth in the county of Essex. London: 1582 70,1582,,St. Osyth; St. Ofes; St. Oses,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,419,Scroll of Extraction,Scroll of Extraction,24,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,Elizabeth Hancocke recovers after six weeks of torments after her father administers a counter-magic remedy prescribed by a local wise-man.(53-54) Appears in: Roberts Alexander. A Treatise of Witchcraft. London: 1616 53-54,1616,,,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,451,Scroll of Extraction,Scroll of Extraction,24,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Frances Moore alleges in her confession that eight years before she received a second familiar from Elizabeth Weed in the form of a white cat Weed had named Tiffy. Weed told Moore that in order to receive Tiffy's services she must renounce God and affirm it with blood. If she did so she could set Tiffy on anyone she cursed and they would soon die. Moore renounced God pricked her finger with a thorn and allowed Tiffy to lick the blood. (5) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 5,1638,Catworth,Catworth,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,26,Scroll of Extraction,Scroll of Extraction,25,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Alice Manfielde is condemned of witchcraft and swiftly executed in April 1582.(61) Appears in: W. W. . A True and Just Record of the Information Examination and Confession of all the Witches taken at S. Osyth in the county of Essex. London: 1582 61,1582 April,,St. Osyth; St. Ofes; St. Oses,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,420,Scroll of Extraction,Scroll of Extraction,25,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,A Great Cat (a pet cum familiar of Mary Smith's) appears at Hancocke's home. Despite being stabbed with a sword beaten over the head with a staff and thrown in a sack the cat does not die. It is finally stashed under the stairs where it disappears of its own accord. (54) Appears in: Roberts Alexander. A Treatise of Witchcraft. London: 1616 54,1616,,,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,452,Scroll of Extraction,Scroll of Extraction,25,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Frances Moore in her confession recalled that 16 years before William Foster had threatened to hang her children for stealing bread. Six years ago two after receiving Tiffy from Elizabeth Weed she allegedly decided to curse Foster for it. Tiffy went to Foster and caused him become sick; he lay in pain for seven or eight days before dying. Moore claimed however not to remember what exactly she had instructed Tiffy to do to him..(5) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 5,1640,Catworth,Catworth,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,27,Scroll of Extraction,Scroll of Extraction,26,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Margaret Grevell is accused by John Carter of bewitching a brew and halting beer production in her town.(73-79 ) Appears in: W. W. . A True and Just Record of the Information Examination and Confession of all the Witches taken at S. Osyth in the county of Essex. London: 1582 73-79,1582,,St. Osyth; St. Ofes; St. Oses,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,421,Scroll of Extraction,Scroll of Extraction,26,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,After he hit her son (allegedly with cause) Mary Smith cursed John Orkton and "wished in a most earnest and bitter manner that his fingers might rotte off." He lost his appetite grew weak and fell ill with a mysterious disease which lasted approximately eight months. His fingers and toes grew gangerous and were amputated.(48-50) Appears in: Roberts Alexander. A Treatise of Witchcraft. London: 1616 48-50,1616,,,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,453,Scroll of Extraction,Scroll of Extraction,26,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Frances Moore alleged in her confession that five years before Edward Hull's cow got into her grain. She cursed it and set Pretty on it causing the cow to swell and die.(5) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 5,1641,Catworth,Catworth,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,28,Scroll of Extraction,Scroll of Extraction,27,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Margaret Grevell is sent to prison for her mischievous actions.(68) Appears in: W. W. . A True and Just Record of the Information Examination and Confession of all the Witches taken at S. Osyth in the county of Essex. London: 1582 68,1582,,St. Osyth; St. Ofes; St. Oses,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,422,Scroll of Extraction,Scroll of Extraction,27,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,John Orkton visits a surgeon (Anonymous 201) in Yarmouth hoping to find a cure for the purification of his flesh. Although the surgeon was believed to have considerable skill no remedy he applied lasted more than a day. The surgeon's remedies were not taking care of Orkton's ailment. At the time of publication Orkton was still "rotting."(48-50) Appears in: Roberts Alexander. A Treatise of Witchcraft. London: 1616 48-50,1616,Yarmouth,,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,454,Scroll of Extraction,Scroll of Extraction,27,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,France Moore alleged in her confession that five years before one of Peter Brown's cows went into her corn; she cursed the cow and set Pretty on it causing the animal to die two or three days later.(5-6) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 5-6,1641,Catworth,Catworth,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,29,Scroll of Extraction,Scroll of Extraction,28,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Elizabeth Ewstace is accused of hurting Felice Okey's geese. Felice Okey testifies against Elizabeth Ewstace during her trial. (75) Appears in: W. W. . A True and Just Record of the Information Examination and Confession of all the Witches taken at S. Osyth in the county of Essex. London: 1582 75,1582,,St. Osyth; St. Ofes; St. Oses,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,423,Scroll of Extraction,Scroll of Extraction,28,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,Henry Smith allegedly curses Thomas Younges after he tries to call in an old debt owed to his new wife. Three days later Younges "fell sicke and was tortured with exceeding and massacring griefes."(58-59) Appears in: Roberts Alexander. A Treatise of Witchcraft. London: 1616 58-59,1616,Yarmouth,,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,455,Scroll of Extraction,Scroll of Extraction,28,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Frances Moore alleged in her confession that she had killed her familiars Tiffy and Pretty the year before but that they had been haunting her since. She claimed that when she was apprehended they had crawled under her clothes and had been tormenting her so that she couldn't speak freely to confess.(6) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 6,1646 April 9,Catworth,Catworth,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,30,Scroll of Extraction,Scroll of Extraction,29,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Elizabeth Ewstace allegedly threatens Felice Okey's husband leaving him bewitched for a short while with scratches on his face and no ability to see hear or speak.(76) Appears in: W. W. . A True and Just Record of the Information Examination and Confession of all the Witches taken at S. Osyth in the county of Essex. London: 1582 76,1582,,St. Osyth; St. Ofes; St. Oses,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,424,Scroll of Extraction,Scroll of Extraction,29,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,Thomas Young visits a number of "sundry learned and experienced Physitians in Norwich." Despite following their advice he does not recover from his (supernatural) suffering. (58-59) Appears in: Roberts Alexander. A Treatise of Witchcraft. London: 1616 58-59,1616,Norwich,,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,456,Scroll of Extraction,Scroll of Extraction,29,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,John Browne gave deposition before Justice John Castell alleging that he had met John Clarke Jr. on the road and that Clarke told him he was heading to Keyson because he and his parents had been accused of witchcraft. Browne told Clarke that he too had been accused and that the searchers said they had found marks on him. According to Browne Clarke claimed to have cut off his marks three days before his own searching. Clarke then became suspicious telling Browne that he didn't believe him to be a witch as he had not seen him at any meetings. Browne said his meetings were in different places and they parted.(13-14) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 13-14,1646 May 2,,Keiston,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,31,Scroll of Extraction,Scroll of Extraction,30,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Elizabeth Ewstace is interrogated in prison by Brian Darcey; she denies participating in a malefic conspiracy with Alice Manfield noting that their only business has been when she buys ointment from Manfield to treat her lameness.(79) Appears in: W. W. . A True and Just Record of the Information Examination and Confession of all the Witches taken at S. Osyth in the county of Essex. London: 1582 79,1582 February,,St. Osyth; St. Ofes; St. Oses,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,425,Scroll of Extraction,Scroll of Extraction,30,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,Mary Smith is executed as a witch on January 12 1616 (?) having confessed "her confederacy with the Diuell cursing banning and enuy towards her neighbours and hurts done to them expressing euery one by name" including John Orkton Cecily Bayles Elizabeth Hancocke and Edmund Newton. () Appears in: Roberts Alexander. A Treatise of Witchcraft. London: 1616,1616 January 12,,,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,457,Scroll of Extraction,Scroll of Extraction,30,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Peter Slater gives a statement before Justice Robert Bernard alleging that his wife had a falling out with Francis Moore 21 years before. Not long after his wife gave birth to their child and a week after the birth his wife suddenly got sick and died. He says that ever since that day he has suspected Moore of witchcraft.(6) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 6,1625,Catworth,Catworth,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,32,Scroll of Extraction,Scroll of Extraction,31,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Annis Herd is accused by several Little Okeley residents of bewitching and is sent to prison.(93-94) Appears in: W. W. . A True and Just Record of the Information Examination and Confession of all the Witches taken at S. Osyth in the county of Essex. London: 1582 93-94,1582 March 17,,Little Oakey,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,426,Scroll of Extraction,Scroll of Extraction,31,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,William Whycherly during his examination by Sir Thomas Smith confesses to attempting to conjure a circle with a consecrated sword and ring but was unsuccessful because "an old priest being there was so sore afraide that he ran away before the spirit called Ambrose Waterduke could appeare."(334) Appears in: Foxe Thomas Cranmer John Gough Nichols John. Narratives of the Days of the Reformation. Unknown: 1859 334,1597,Yarmouth,,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,458,Scroll of Extraction,Scroll of Extraction,31,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,William Searle gives a statement before Justice Robert Bernard alleging that three or four years before Francis Moore had requested to bake a loaf of bread at his home and he refused her. In retribution she set her familiar Pretty on his chickens causing them to flutter refuse to eat and die.(7) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 7,1642,Catworth,Catworth,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,33,Scroll of Extraction,Scroll of Extraction,32,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Joan Robinson is accused of bewitching animals and men.(100) Appears in: W. W. . A True and Just Record of the Information Examination and Confession of all the Witches taken at S. Osyth in the county of Essex. London: 1582 100,1582,,St. Osyth; St. Ofes; St. Oses,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,427,Scroll of Extraction,Scroll of Extraction,32,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,William Whycherly during his examination by Sir Thomas Smith claims that "Thomas Owldring of Yarmouth is a conjurer and hath very good bookes of conjuring and that a great nomber."(334) Appears in: Foxe Thomas Cranmer John Gough Nichols John. Narratives of the Days of the Reformation. Unknown: 1859 334,1597,Yarmouth,,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,459,Scroll of Extraction,Scroll of Extraction,32,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,William Searle gives a statement alleging that three or four years before Francis Moore had caused one of his hogs to die in retribution for some of his servants setting a dog on one of her hogs.(7) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 7,1642,Catworth,Catworth,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,34,Scroll of Extraction,Scroll of Extraction,33,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Joan Cunny confesses sending her familiars to hurt John Sparrow's wife and to knock over a stack of logs in John Glascock's yard.(8) Appears in: Anonymous. The Apprehension and Confession of Three Notorious Witches. London: 1589 8,1589 March,,Stistead,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,460,Scroll of Extraction,Scroll of Extraction,33,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Frances Moore allegedly pricked her finger with a thorn drawing blood which she used to seal the contract with her cat familiar Tissy.(5) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 5,1638,Catworth,Catworth,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,35,Scroll of Extraction,Scroll of Extraction,34,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Joan Cunny confesses to sending her familiars to hurt William Unglee of Stisted a Miller but they are unsuccessful. Instead the familiars hurt Barnaby Griffen one of Unglee's workers.(2) Appears in: Anonymous. The Apprehension and Confession of Three Notorious Witches. London: 1589 2,1589 March,,Stistead,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,461,Scroll of Extraction,Scroll of Extraction,34,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Elizabeth Chandler during her examination denies ever striking Mary Darnell's daughter Katherine or ever sending a spirit to harm the child. She also says that Darnell's spoiled pot of furmity was not her doing.(8) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 8,1646 April 7,,Keiston,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,36,Scroll of Extraction,Scroll of Extraction,35,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Joan Cunny confesses to sending her familiars to hurt Master Kitchin the town Minister but they were not able to because of his strong religious faith.(2) Appears in: Anonymous. The Apprehension and Confession of Three Notorious Witches. London: 1589 2,1589 March,,Stistead,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,462,Scroll of Extraction,Scroll of Extraction,35,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Elizabeth Chandler alleges during her examination that she had a falling out with Mary Darnell during which Darnell turned her into a duck. She claims that her visitations from the roaring apparition began about six months later.(8) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 8,1646 April 7,,Keiston,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,37,Scroll of Extraction,Scroll of Extraction,36,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Joan Cunny confesses sending her familiars to hurt George Coe the town shoe maker but they are not able to because of his strong religious faith.(2) Appears in: Anonymous. The Apprehension and Confession of Three Notorious Witches. London: 1589 2,1589 March,,Stistead,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,463,Scroll of Extraction,Scroll of Extraction,36,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Elizabeth Chandler during her examination is questioned about whether she has two imp familiars named Beelzebub and Trullibub. Chandler denies having any familiars; she claims that Beelzebub is what she calls a log of wood and Trullibub her name for a stick.(8) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 8,1646 April 7,,Keiston,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,38,Scroll of Extraction,Scroll of Extraction,37,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Joan Upney confesses to sending her familiar toad to pinch and suck at John Harrolde's wife until she died. (8) Appears in: Anonymous. The Apprehension and Confession of Three Notorious Witches. London: 1589 8,1584,East London,Dagenham,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,464,Scroll of Extraction,Scroll of Extraction,37,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Ellen Shepheard is examined before Justice Robert Bernard and Nicholas Pedley in which she alleges that she was first visited by a spirit five years ago. She claims that she was swearing and cursing about the way her children had been fighting and that a spirit appeared to her in the shape of a small iron-grey rat. This rat-spirit demanded she come with it but she sent it away saying "I will not avoid Satan."(9) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 9,1641,,Molesworth,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,39,Scroll of Extraction,Scroll of Extraction,38,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Joan Cunny is executed in Chelmsford on 5 July 1589.(14) Appears in: Anonymous. The Apprehension and Confession of Three Notorious Witches. London: 1589 14,1589 July 5,,Chelnes-forde; Chelmesforde; Chelmifforde; Chensforde;Chelmes-forde,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,465,Scroll of Extraction,Scroll of Extraction,38,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Ellen Shepherd alleges in her confession that shortly after her first encounter with the rat-spirit she went into the field and there was cursing fretting and blaspheming which attracted the spirit to come back. This time it had three other rat-spirits with it and demanded she forsake God and Christ to take it and its companions as her gods instead promising happiness if she complied. Shepherd consented to this and to allowing the spirits to take her soul when she died. She also granted them her blood and thereafter they had often sucked from her on and about her hips.(9-10) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 9-10,1641,,Molesworth,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,40,Scroll of Extraction,Scroll of Extraction,39,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Joan Prentice is executed in Chelmsford on 5 July 1589.(14) Appears in: Anonymous. The Apprehension and Confession of Three Notorious Witches. London: 1589 14,1589 July 5,,Chelnes-forde; Chelmesforde; Chelmifforde; Chensforde;Chelmes-forde,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,466,Scroll of Extraction,Scroll of Extraction,39,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Ellen Shepherd alleges in her confession that she never used the rat-spirits to torment anything and that they had not brought her happiness. (10) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 10,1646 April 8,,Molesworth,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,41,Scroll of Extraction,Scroll of Extraction,40,http://witching.org/brimstone/detail.php?mode=county&county=Essex,A group of nine people (eight men and one woman) rob and murder Anthony James a wealthy Yeoman and his wife (Anonymous 66). The robbers take gold silver plates and rings. They then stab Anthony James and his wife (Anonymous 66) with daggers to kill them. The children Anthony James (Jr.) and Elizabeth James are kidnapped. (4-5) Appears in: Anonymous. The Most Cruel and Bloody Murder Committed by an Inkeepers wife called Annis Dell and her Son George Dell. London: 1606 4-5,1602,,,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,467,Scroll of Extraction,Scroll of Extraction,40,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Ellen Shepherd alleges in her confession that the rat-spirits had been tormenting her that afternoon since she had been brought in for the examination. She intended to end her habit of cursing and swearing.(10) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 10,1646 April 8,,Molesworth,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,42,Scroll of Extraction,Scroll of Extraction,41,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Alice Newman allegedly plagues a nobleman with a spirit.(54) Appears in: W. W. . A True and Just Record of the Information Examination and Confession of all the Witches taken at S. Osyth in the county of Essex. London: 1582 54,1582,,St. Osyth; St. Ofes; St. Oses,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,468,Scroll of Extraction,Scroll of Extraction,41,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Jane Wallis alleges in her confession that about four days after Blackeman's initial visit Grissell and Greedigut came to her for the first time. They had the shape of hounds wearing hog's-hair bridles and told her that Blackeman had sent them to do whatever she bid them. She replied that she lacked nothing but when they asked her to feed them she said she was poor and had nothing to give at which they left. (12-13) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 12-13,1646 March 16,,Keiston,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,43,Scroll of Extraction,Scroll of Extraction,42,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Margery Sammon confesses to taking two spirits from her mother.(47) Appears in: W. W. . A True and Just Record of the Information Examination and Confession of all the Witches taken at S. Osyth in the county of Essex. London: 1582 47,1582 February 25,,St. Osyth; St. Ofes; St. Oses,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,469,Scroll of Extraction,Scroll of Extraction,42,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Edward Wingfield claims in his deposition that Jane Wallis confessed to him that Grissell and Greedigut came in several shapes but mostly that of hounds with bristles on their backs. He said that they would suck on her body and she told him that while she never sent them to do mischief Blackeman would.(13) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 13,1646,,Keiston,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,44,Scroll of Extraction,Scroll of Extraction,43,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Elizabeth Francis alleges in her confession that Elizabeth Lord bewitched John Fraunces servant to Goodman Some by giving him a drink that caused him to sicken and die.(5-6) Appears in: Anonymous. A Detection of Damnable Driftes Practised by Three Witches Arranged at Chelmifforde in Essex. London: 1579 5-6,1572,Hatfield Peverel,Hatfield Peverel,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,470,Scroll of Extraction,Scroll of Extraction,43,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Jane Wallis alleges in her confession that Grissel and Greedigut would visit her often and bring two or three shillings for her when they did. Edward Wingfield's deposition of her confession agreed on this detail but added that Blackeman would be with them.(13) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 13,1646 April 16,,Keiston,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,45,Scroll of Extraction,Scroll of Extraction,44,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Cysley Sellis allegedly bewitches Thomas Death's child (Anonymous 207) to death.(100) Appears in: W. W. . A True and Just Record of the Information Examination and Confession of all the Witches taken at S. Osyth in the county of Essex. London: 1582 100,1582,,Little Clacton,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,471,Scroll of Extraction,Scroll of Extraction,44,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Edward Wingfield alleges in his deposition that during Jane Wallis' confession to him she said that Grissell and Greedigut once robbed a man pulling him from his horse to steal his money for her. He added that she often forgot their names.(13-14) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 13-14,1646 April 14,,Keiston,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,46,Scroll of Extraction,Scroll of Extraction,45,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Elizabeth Gooding is accused of causing the death of a horse.(7) Appears in: H. F.. A True and Exact Relation of the severall Informations Examinations and Confessions of the late Witches arraigned and executed in the County of Essex. . London: 1645 7,1645 April,Manningtree,Manningtree,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,472,Scroll of Extraction,Scroll of Extraction,45,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,John Clarke Jr. alleges during his examination by Justice John Castell that he overtook a man and three women on the road to Keyston the previous Sunday but denied saying anything to them about cutting off witch's marks meeting any witches or making a compact with the Devil. (13) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 13,1646 May 2,,Keiston,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,47,Scroll of Extraction,Scroll of Extraction,46,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Hellen Clark confesses to having the devil appear to her in the form of a white dog which she names Elimanzer and feeds with milk-pottage.(10) Appears in: H. F.. A True and Exact Relation of the severall Informations Examinations and Confessions of the late Witches arraigned and executed in the County of Essex. . London: 1645 10,1645,Manningtree,Manningtree,Essex
